epoch,train_loss,val_accuracy,val_f1,val_precision,val_recall
1,0.23414812899181542,0.8971747068998656,0.7451091127303205,0.6790576499044705,0.8712072447539253
2,0.10853658777097581,0.9422768915369336,0.844974019456894,0.7908140189349916,0.9179783023506498
3,0.08333189360744936,0.9539368313152671,0.8617967916843287,0.8106725930363503,0.9255134654918442
4,0.07146848205634405,0.9584214235377025,0.8814898625433778,0.8434067713497497,0.9260916586109567
5,0.06700423741057306,0.9547056185533986,0.8727587159037892,0.8273869057726142,0.9290720577231575
6,0.062096580603278016,0.9569479146646164,0.8811382519564952,0.8422586513696791,0.9304575064592704
7,0.05943041416540952,0.9581651611249918,0.87825691501641,0.8376952256003144,0.9263314257565757
8,0.05761578038833301,0.9582932923313474,0.8821680110544747,0.8419444292680687,0.9302132941652285
9,0.05553730760346836,0.9574604394900379,0.8791852948904072,0.8385287177256722,0.9277285056328647
10,0.05382273512643198,0.9589339483631238,0.8802262321583406,0.8435777564968678,0.9234692552473462
11,0.053104862036891805,0.9591902107758344,0.8821873511890558,0.8457602647808021,0.9253656396702269
12,0.05276734648980725,0.9591261451726569,0.8817504742728665,0.8452369512796671,0.924963387055585
